areacode	cities	locodes	state name	state	country	parent areacode	introduced	overlay
201	Newark	USEWR	New Jersey	NJ	US		1952	No
202	Washington	USWAS	Washington, DC	DC	US		1952	No
203	New Haven	USHVN	Connecticut	CT	US		1952	No
204	Winnipeg	CAWNP	Manitoba	MB	CA		1952	No
205	Birmingham	USBHM	Alabama	AL	US		1952	No
206	Seattle	USSEA	Washington	WA	US		1952	No
207	Portland	USPWM	Maine	ME	US		1952	No
208	Boise	USBOI	Idaho	ID	US		1952	No
209	Fresno	USFAT	California	CA	US	916	1958
210	San Antonio	USSAT	Texas	TX	US	512	1992-11-01
212	New York	USNYC	New York	NY	US		1952	No
213	Los Angeles	USLAX	California	CA	US		1952	No
214	Dallas	USDAL	Texas	TX	US		1952	No
215	Philadelphia	USPHL	Pennsylvania	PA	US		1952	No
216	Cleveland	USCLE	Ohio	OH	US		1952	No
217	Chicago	USCHI	Illinois	IL	US		1952	No
218	Duluth	USDLH	Minnesota	MN	US		1952	No
219	Valparaiso	USVPZ	Indiana	IN	US		1952	No
224	Chicago	USCHI	Illinois	IL	US
225	Baton Rouge	USBTR	Louisiana	LA	US	504	1998-08-17	No
226	London	CALOD	Ontario	ON	CA
228	Gulfport	USGPT	Mississippi	MS	US	601	1997-09-15	No
229	Albany	USABY	Georgia	GA	US	912	2000-08-01	No
231	Muskegon	USMKG	Michigan	MI	US	616	1999-06-05	No
234	Akron	USAKH	Ohio	OH	US	330	2000-10-30	Yes
236	Vancouver	CAVAN	British Columbia	BC	CA
239	Fort Myers	USFMY	Florida	FL	US
240	Baltimore	USBAL	Maryland	MD	US	301	1997-06-01	Yes
242			British Columbia	BC	CA	809	1996-10-01	No
246			Barbados	BB	BB	809	1996-07-01	No
248	Detroit	USDET	Michigan	MI	US	810	1997-05-10	No
249	Barrie	CABAR	Ontario	ON	CA
250	Zeballos	CAZEB	British Columbia	BC	CA	604	1996-10-19	No
251	Mobile	USMOB	Alabama	AL	US
252	Greenville	USPGV	North Carolina	NC	US	919	1998-03-22	No
253	Seattle	USSEA	Washington	WA	US	206	1997-04-27	No
254	Killeen	USILE	Texas	TX	US	817	1997-05-25	No
256	Huntsville	USHSV	Alabama	AL	US	205	1998-03-23	No
260	Fort Wayne	USFWA	Indiana	IN	US
262	Milwaukee	USMKE	Wisconsin	WI	US	414	1999-09-25	No
264			Anguilla	AI	AI	809	1997-03-31	No
267	Philadelphia	USPHL	Pennsylvania	PA	US	215	1999-06-05	Yes
268			Antigua and Barbuda	AG	AG	809	1996-04-01	No
269	Kalamazoo	USAZO	Michigan	MI	US
270	Bowling Green	USBWG	Kentucky	KY	US	502	1999-04-19	No
272	Lake Ariel	USKJA	Pennsylvania	PA	US
276	Martinsville	USMTV	Virginia	VA	US
281	Houston	USHOU	Texas	TX	US	713	1996-11-02	No
284			British Virgin Islands	VG	VG	809	1997-10-01	No
289	Woodbridge	CAWDB	Ontario	ON	CA
301	Baltimore	USBAL	Maryland	MD	US		1952	No
302	Wilmington	USILG	Delaware	DE	US		1952	No
303	Denver	USDEN	Colorado	CO	US		1952	No
304	Charleston	USCRW	West Virginia	WV	US		1952	No
305	Miami	USMIA	Florida	FL	US		1952	No
306	Yorkton	CAYQV	Saskatchewan	SK	CA		1952	No
307	Casper	USCPR	Wyoming	WY	US		1952	No
308	Grand Island	USGRI	Nebraska	NE	US	402	1954
309	Peoria	USPIA	Illinois	IL	US	217/815	1957
310	Los Angeles	USLAX	California	CA	US	213	1991-11-02
312	Chicago	USCHI	Illinois	IL	US		1952	No
313	Detroit	USDET	Michigan	MI	US		1952	No
314	Saint Louis	USSTL	Missouri	MO	US		1952	No
315	Syracuse	USSYR	New York	NY	US		1952	No
316	Wichita	USICT	Kansas	KS	US		1952	No
317	Indianapolis	USIND	Indiana	IN	US		1952	No
318	Shreveport	USSHV	Louisiana	LA	US	504	1957
319	Cedar Rapids	USCID	Iowa	IA	US		1952	No
320	Saint Cloud	USSTC	Minnesota	MN	US	612	1996-03-17	No
321	Orlando	USORL	Florida	FL	US	407	1999-11-01	Yes
323	Los Angeles	USLAX	California	CA	US	213	1998-06-13	No
325	Abilene	USABI	Texas	TX	US
330	Akron	USAKH	Ohio	OH	US	216	1996-03-09	No
331	Lemont	USLMJ	Illinois	IL	US
334	Montgomery	USMGM	Alabama	AL	US	205	1995-01-15	No
336	Greensboro	USGBO	North Carolina	NC	US	910	1997-12-15	No
337	Lafayette	USLFT	Louisiana	LA	US	318	1999-10-11	No
339	Boston	USBOS	Massachusetts	MA	US
340	Charlotte Amalie	VICHA	Virgin Islands	VI	US	809	1997-06-01	No
343	Vankleek Hill	CAVKH	Ontario	ON	CA
345			Cayman Islands	CI	KY	809	1996-09-01	No
346	Houston	USHOU	Texas	TX	US
347	Brooklyn	USBOY	New York	NY	US	718	1999-10-01	Yes
351	Danvers	USDVR	Massachusetts	MA	US
352	Gainesville	USGNV	Florida	FL	US	904	1995-12-03	No
360	Seattle	USSEA	Washington	WA	US	206	1995-01-15	No
361	Corpus Christi	USCRP	Texas	TX	US	512	1999-02-13	No
364			Kentucky	KY	US
365	Tottenham	CATOT	Ontario	ON	CA
385	Salt Lake City	USSLC	Utah	UT	US
386	Daytona Beach	USDAB	Florida	FL	US
